id,country,p.type,p.freq,p.year,p.area,loss_pa,subregion,climadomain,GDPpcPPP,income00
4369,Sri Lanka,1,99.7647773,8,5580.81,914.6601,SSE Asia,Tropical,3920.4821,LM
4370,Sri Lanka,2,0.235222703,8,499.41,914.6601,SSE Asia,Tropical,3920.4821,LM
4371,Sri Lanka,1,99.67190063,9,10867.86,914.6601,SSE Asia,Tropical,3920.4821,LM
4372,Sri Lanka,2,0.320287478,9,1430.46,914.6601,SSE Asia,Tropical,3920.4821,LM
4373,Sri Lanka,3,0.00781189,9,428.4,914.6601,SSE Asia,Tropical,3920.4821,LM
4374,Sri Lanka,1,99.69676294,10,5945.31,914.6601,SSE Asia,Tropical,3920.4821,LM
4375,Sri Lanka,2,0.303237056,10,899.64,914.6601,SSE Asia,Tropical,3920.4821,LM
4376,Sri Lanka,1,99.67597208,11,11916.54,914.6601,SSE Asia,Tropical,3920.4821,LM
4377,Sri Lanka,2,0.324027916,11,1716.21,914.6601,SSE Asia,Tropical,3920.4821,LM
4378,Sri Lanka,1,99.63025333,12,10129.32,914.6601,SSE Asia,Tropical,3920.4821,LM
4379,Sri Lanka,2,0.366085811,12,1910.52,914.6601,SSE Asia,Tropical,3920.4821,LM
4380,Sri Lanka,3,0.003660858,12,100.26,914.6601,SSE Asia,Tropical,3920.4821,LM
4381,Sri Lanka,1,99.78103419,13,4029.12,914.6601,SSE Asia,Tropical,3920.4821,LM
4382,Sri Lanka,2,0.218965808,13,625.59,914.6601,SSE Asia,Tropical,3920.4821,LM
4383,St. Kitts and Nevis,1,100,1,39.78,2.3634,Caribbean,Tropical,15128.32,UM
4384,St. Kitts and Nevis,1,100,2,14.76,2.3634,Caribbean,Tropical,15128.32,UM
4385,St. Kitts and Nevis,1,100,3,26.37,2.3634,Caribbean,Tropical,15128.32,UM
4386,St. Kitts and Nevis,1,100,4,20.97,2.3634,Caribbean,Tropical,15128.32,UM
4387,St. Kitts and Nevis,1,100,5,15.39,2.3634,Caribbean,Tropical,15128.32,UM
4388,St. Kitts and Nevis,1,100,6,18.45,2.3634,Caribbean,Tropical,15128.32,UM
4389,St. Kitts and Nevis,1,100,7,11.16,2.3634,Caribbean,Tropical,15128.32,UM
4390,St. Kitts and Nevis,1,100,8,21.42,2.3634,Caribbean,Tropical,15128.32,UM
4391,St. Kitts and Nevis,1,100,9,28.8,2.3634,Caribbean,Tropical,15128.32,UM
4392,St. Kitts and Nevis,1,100,10,16.11,2.3634,Caribbean,Tropical,15128.32,UM
4393,St. Kitts and Nevis,1,100,11,10.53,2.3634,Caribbean,Tropical,15128.32,UM
4394,St. Kitts and Nevis,1,100,12,8.28,2.3634,Caribbean,Tropical,15128.32,UM
4395,St. Kitts and Nevis,1,100,13,4.32,2.3634,Caribbean,Tropical,15128.32,UM
4396,St. Lucia,1,100,1,31.14,6.5907,Caribbean,Tropical,7910.1103,UM
